year,state,sector-name,fuel-name,value,average_temp
2010,Kansas,Transportation carbon dioxide emissions,All Fuels,18.69,55.025
2010,Kansas,Electric Power carbon dioxide emissions,All Fuels,35.79,55.025
2010,Kansas,Industrial carbon dioxide emissions,All Fuels,11.98,55.025
2010,Kentucky,Residential carbon dioxide emissions,All Fuels,3.71,56.29166666666666
2010,Kentucky,Commercial carbon dioxide emissions,All Fuels,2.37,56.29166666666666
2010,Kentucky,Transportation carbon dioxide emissions,All Fuels,32.34,56.29166666666666
2010,Kentucky,Electric Power carbon dioxide emissions,All Fuels,95.11,56.29166666666666
2010,Kentucky,Industrial carbon dioxide emissions,All Fuels,19.41,56.29166666666666
2010,Louisiana,Residential carbon dioxide emissions,All Fuels,2.65,66.45
2010,Louisiana,Commercial carbon dioxide emissions,All Fuels,1.96,66.45
2010,Louisiana,Transportation carbon dioxide emissions,All Fuels,42.13,66.45
2010,Louisiana,Electric Power carbon dioxide emissions,All Fuels,42.71,66.45
2010,Louisiana,Industrial carbon dioxide emissions,All Fuels,114.12,66.45
2010,Maine,Residential carbon dioxide emissions,All Fuels,2.67,44.583333333333336
2010,Maine,Commercial carbon dioxide emissions,All Fuels,1.72,44.583333333333336
2010,Maine,Transportation carbon dioxide emissions,All Fuels,8.1,44.583333333333336
2010,Maine,Electric Power carbon dioxide emissions,All Fuels,2.58,44.583333333333336
2010,Maine,Industrial carbon dioxide emissions,All Fuels,2.69,44.583333333333336
2010,Maryland,Residential carbon dioxide emissions,All Fuels,6.58,56.025
2010,Maryland,Commercial carbon dioxide emissions,All Fuels,4.58,56.025
2010,Maryland,Transportation carbon dioxide emissions,All Fuels,30.72,56.025
2010,Maryland,Electric Power carbon dioxide emissions,All Fuels,25.18,56.025
2010,Maryland,Industrial carbon dioxide emissions,All Fuels,4.34,56.025
2010,Massachusetts,Residential carbon dioxide emissions,All Fuels,13.6,50.38333333333333
2010,Massachusetts,Commercial carbon dioxide emissions,All Fuels,6.72,50.38333333333333
2010,Massachusetts,Transportation carbon dioxide emissions,All Fuels,30.66,50.38333333333333
2010,Massachusetts,Electric Power carbon dioxide emissions,All Fuels,18.29,50.38333333333333
2010,Massachusetts,Industrial carbon dioxide emissions,All Fuels,3.53,50.38333333333333
